# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=1741107268
# chain_id=3
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-5103/chain_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
241.653,0.999827,0.000371833,10,1023,0,-233.486,0.0985273,0.0127803,0.0602969,0.0587067,20.2238,0.300118,0.0705192,0.000396564,13.2494,0.00606619,8.38757,2.30796,0.098341,0.244063,0.100142,5.24313,0.00688795
241.536,0.969316,0.000612949,10,1023,0,-233.67,0.111138,0.0102208,0.0443204,0.0453198,15.0029,0.219061,0.122714,0.000270587,6.6467,0.00598983,7.65451,2.11401,0.133097,0.194437,0.105546,5.19972,0.00585627
239.188,0.878989,0.000939408,10,1023,0,-233.266,0.106971,0.00871353,0.0581796,0.0458695,29.2667,0.214018,0.103113,0.000191909,5.95851,0.0073926,8.676,2.24288,0.11263,0.23467,0.116115,5.50763,0.00511
247.449,0.140582,0.00117683,9,893,0,-235,0.0899563,0.00930219,0.0514036,0.0559668,27.581,0.218859,0.105367,0.000158497,7.36809,0.0070819,8.03974,2.41919,0.113724,0.213247,0.107386,5.51927,0.00627952
247.792,0.959556,0.000297829,10,1023,0,-239.516,0.101519,0.0106834,0.0502248,0.0502705,22.6918,0.247801,0.115499,0.000243445,9.47747,0.0056918,9.1223,2.21383,0.108323,0.223986,0.108971,5.57304,0.00684892
242.046,0.986484,0.000445185,10,1023,0,-238.031,0.0964754,0.0111054,0.0433653,0.0504578,21.289,0.238877,0.14342,0.000277536,7.86509,0.00573269,9.1418,2.57989,0.151642,0.154241,0.100631,5.43072,0.00997672
245.157,0.973638,0.000701514,10,1023,0,-236.039,0.0948904,0.0195536,0.0627782,0.0547892,21.2228,0.691969,0.0752912,0.000213481,13.2066,0.00694212,8.49212,2.28398,0.0957806,0.257662,0.104428,5.29223,0.00719871
248.066,0.982172,0.00106996,9,511,0,-238.198,0.101315,0.017116,0.046831,0.0594648,19.2387,0.70053,0.0913873,0.000165461,10.7209,0.00478096,7.55022,2.27346,0.119936,0.204243,0.107885,5.51113,0.0058924
247.157,0.077559,0.00165353,2,6,1,-238.933,0.101343,0.0171394,0.0468184,0.0593559,19.2531,0.699608,0.0915993,0.000164829,10.7248,0.00478374,7.56131,2.27316,0.11973,0.204488,0.107952,5.51252,0.00587537
245.214,0.99424,0.000379424,10,1023,0,-238.033,0.0965748,0.0165424,0.057864,0.0465989,12.4351,0.338931,0.0947471,0.000180813,13.7651,0.00841189,10.7669,1.82335,0.129254,0.197102,0.113655,5.56756,0.0046445
246.362,0.998102,0.000601604,10,1023,0,-237.323,0.103376,0.0175455,0.0461904,0.0580851,13.3015,0.277743,0.0907877,0.000399595,7.00201,0.00495616,14.7942,1.96302,0.111965,0.221171,0.106486,5.39991,0.00429312
242.049,0.919313,0.000956635,10,1023,0,-234.333,0.0964368,0.0151296,0.0631033,0.047178,27.8103,0.179754,0.128929,0.000172199,11.2074,0.00597854,12.7454,4.17646,0.12565,0.180687,0.0970656,5.36326,0.00266265
241.306,0.113825,0.0012857,4,26,1,-234.652,0.0976122,0.0151,0.063241,0.0474067,27.719,0.179954,0.129335,0.000172884,11.2972,0.00600498,12.6104,4.17351,0.127597,0.180795,0.0963569,5.30525,0.00264856
242.881,0.99958,0.000328012,10,1023,0,-235.567,0.0960147,0.0152063,0.0612011,0.0479524,27.1097,0.177806,0.127149,0.000165537,11.5179,0.00613592,12.4016,4.27006,0.127415,0.182855,0.0957583,5.21928,0.0026565
245.181,0.984914,0.000520662,7,159,0,-236.783,0.0974578,0.0153336,0.0634124,0.0489284,27.6661,0.177978,0.126113,0.000166522,11.4734,0.00609556,12.4468,4.38885,0.129766,0.181105,0.100964,5.41461,0.00270472
247.825,0.985692,0.000798153,10,1023,0,-234.674,0.0919997,0.0140933,0.0521602,0.0495047,11.9615,0.125843,0.126071,0.000280331,7.90965,0.0059634,11.3301,2.70145,0.102474,0.239439,0.105403,5.38419,0.00101353
247.517,0.373007,0.0012199,10,1023,0,-242.079,0.0972352,0.0120665,0.0499178,0.0468002,11.6701,0.115214,0.13136,0.000361908,8.36663,0.00701007,11.6881,2.37966,0.12726,0.191864,0.104605,5.40102,0.00137821
244.145,0.975623,0.000539339,10,1023,0,-237.467,0.093894,0.0121128,0.0513316,0.047218,12.5628,0.108233,0.143083,0.000371191,5.61771,0.00719055,11.3962,2.56928,0.121081,0.203068,0.109873,5.59599,0.000829852
241.316,1,0.00080565,10,1023,0,-238.092,0.0940093,0.0127751,0.0624137,0.0557312,6.96324,0.129709,0.0753853,0.000370388,15.01,0.00659818,8.06292,1.89405,0.105675,0.235898,0.112969,5.63628,0.000612864
241.613,0.03459,0.00125825,9,569,0,-235.83,0.0978226,0.0128013,0.0622747,0.0543922,6.99363,0.134468,0.0751033,0.000375211,15.0933,0.00660777,8.16167,1.84224,0.106384,0.235686,0.112819,5.59359,0.000593479
239.489,0.986771,0.000287117,10,1023,0,-231.578,0.0959042,0.0130018,0.0641641,0.0492474,7.07076,0.140635,0.077866,0.000337757,15.3942,0.00593491,7.9398,1.91267,0.10408,0.235926,0.103606,5.3292,0.000516137
239.039,0.882799,0.000436945,10,1023,0,-229.783,0.090254,0.0120123,0.060184,0.0458476,7.58275,0.139432,0.0871562,0.000420398,12.7311,0.00731784,8.28982,1.80162,0.113101,0.228536,0.108421,5.30686,0.000506298
237.311,0.992023,0.000539591,10,1023,0,-229.042,0.0967105,0.0139882,0.056992,0.056057,6.86157,0.133555,0.0879749,0.000437016,11.9189,0.00750954,7.27699,2.35908,0.107955,0.222903,0.10363,5.38838,0.000439721
241.053,0.991922,0.00082353,10,1023,0,-228.628,0.104059,0.0171477,0.0558768,0.0672652,19.8543,0.214751,0.0655613,0.000361555,7.21305,0.00659783,18.2743,2.63223,0.118009,0.214231,0.107316,5.35092,0.000735073
244.589,0.17158,0.0012514,10,1023,0,-233.919,0.0929692,0.0164283,0.0535998,0.0678642,21.191,0.212726,0.0724603,0.000376837,8.03193,0.00675094,18.0121,2.62284,0.11578,0.221011,0.110018,5.40902,0.000716302
246.857,0.99971,0.000385331,10,1023,0,-235.813,0.0966508,0.0140004,0.0556322,0.060376,19.3635,0.247456,0.0667523,0.000239706,7.87336,0.00706955,16.1297,1.90167,0.133891,0.194138,0.113365,5.50012,0.000572255
246.919,0.982153,0.000593968,10,1023,0,-239.374,0.0948407,0.0141143,0.0613187,0.0401061,17.2734,0.159426,0.136855,0.000256909,6.75671,0.00633338,13.5376,2.57253,0.107466,0.22353,0.104973,5.46916,0.000601173
247.905,0.999899,0.000881503,10,1023,0,-244.547,0.094112,0.0177098,0.0430909,0.0641167,15.2099,0.306446,0.0927645,0.000220057,8.34598,0.00604392,13.1686,2.24431,0.114357,0.224484,0.109242,5.37625,0.000576911
246.925,0.692733,0.00134835,6,73,1,-240.451,0.0941709,0.0178515,0.0442947,0.0673062,16.4249,0.319562,0.0917411,0.000218668,9.30277,0.00634201,12.6192,2.24074,0.107177,0.225619,0.103232,5.3798,0.000570026
245.549,0.692753,0.00114394,6,74,1,-229.482,0.0889977,0.0176688,0.0464052,0.0669444,16.7778,0.307996,0.0916293,0.000219773,9.24226,0.00623771,12.7669,2.26437,0.106118,0.220105,0.103445,5.49864,0.000589711
245.058,0.560051,0.000971821,10,1023,0,-238.691,0.106969,0.0153736,0.0573206,0.0535071,21.8156,0.365724,0.0873616,0.000200334,12.6651,0.00659053,13.0188,2.19517,0.134523,0.180403,0.107946,5.58104,0.000552212
246.319,0.987033,0.000643361,10,1023,0,-238.207,0.0986094,0.014712,0.0577081,0.0450201,21.0023,0.295922,0.10636,0.000309194,8.54881,0.00562681,11.9733,2.38789,0.103256,0.239537,0.103522,5.3049,0.00039378
244.662,0.688904,0.000954052,10,1023,0,-237.686,0.0990762,0.0164866,0.0460618,0.054231,13.1883,0.252353,0.101689,0.000437718,9.80105,0.00627237,15.8397,1.88718,0.128397,0.191482,0.108399,5.50632,0.000473586
246.126,0.986109,0.000806637,10,1023,0,-238.171,0.0958885,0.0180996,0.0620678,0.0503404,12.9612,0.203789,0.101025,0.000215641,6.35521,0.00710732,12.8101,2.58582,0.109844,0.212681,0.103445,5.50326,0.000554152
248.129,0.671334,0.0011885,10,1023,0,-238.787,0.0965492,0.0127259,0.0469843,0.0522639,11.71,0.291926,0.102717,0.00021096,10.4122,0.00654173,6.90425,1.86937,0.114605,0.21859,0.107673,5.40688,0.00040936
244.717,0.962167,0.000972783,10,1023,0,-239.557,0.0981395,0.0122067,0.064021,0.0579845,23.0608,0.412694,0.0631,0.000265402,16.4254,0.0068242,8.17974,2.01184,0.128186,0.199075,0.112786,5.54379,0.000333662
244.714,0.182731,0.00136522,9,511,0,-237.449,0.098929,0.012053,0.0631354,0.059166,22.64,0.402141,0.0607537,0.000254127,16.6138,0.0064986,8.13376,1.97571,0.124979,0.207458,0.113892,5.51942,0.000341417
245.774,0.95586,0.000454912,10,1023,0,-235.561,0.0908429,0.0181812,0.0607538,0.0612006,15.0674,0.461513,0.0745429,0.000252057,14.5401,0.00632315,7.86037,2.44878,0.113054,0.216645,0.109833,5.59899,0.000455958
245.807,0.999432,0.000631109,10,1023,0,-235.943,0.088624,0.0123268,0.0569072,0.0527772,16.1092,0.476796,0.108121,0.000125954,9.07635,0.00595851,3.06837,2.98912,0.118583,0.19848,0.102417,5.47877,0.000305954
243.569,0.553736,0.00094533,10,1023,0,-238.876,0.0883862,0.0111338,0.052922,0.0440086,17.8379,0.658954,0.115237,8.32347e-05,14.3197,0.0067956,3.50881,1.86722,0.11602,0.218617,0.109102,5.41538,0.000393491
243.569,0,0.0200804,0,1,1,-233.74,0.0883862,0.0111338,0.052922,0.0440086,17.8379,0.658954,0.115237,8.32347e-05,14.3197,0.0067956,3.50881,1.86722,0.11602,0.218617,0.109102,5.41538,0.000393491
243.569,0,0.046889,0,1,1,-234.464,0.0883862,0.0111338,0.052922,0.0440086,17.8379,0.658954,0.115237,8.32347e-05,14.3197,0.0067956,3.50881,1.86722,0.11602,0.218617,0.109102,5.41538,0.000393491
240.662,0.994035,0.00462323,10,1023,0,-230.871,0.105365,0.0160624,0.0499092,0.0610667,16.3472,0.118327,0.0849918,0.000710786,3.97215,0.00661835,20.6497,3.22778,0.127528,0.198524,0.103272,5.20699,0.00232226
243.551,0.777233,0.00473918,10,1023,0,-232.905,0.0902108,0.0165185,0.059613,0.0472382,23.3845,0.787724,0.100408,0.000664658,9.80144,0.00574679,6.85917,2.13143,0.0953048,0.250245,0.106119,5.48212,0.0161506
243.755,0.988621,0.00338799,10,1023,0,-236.9,0.0857478,0.0139781,0.0594306,0.047329,19.0807,0.385921,0.0913178,0.000760483,10.8784,0.00577961,9.94043,1.73351,0.087955,0.278231,0.109113,5.50052,0.0126057
248.275,0.334104,0.00497803,10,1023,0,-237.166,0.0886306,0.0158294,0.061872,0.0403365,21.3312,0.460004,0.109818,0.00117694,9.88718,0.00601741,11.3689,1.9361,0.0974002,0.250286,0.106267,5.43109,0.00616376
