# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=675434192
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-const-Be-eta1/cell-5106/chain_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
214.493,0.826059,0.000522457,11,2047,0,-204.574,0.0611205,0.362259,0.0967962,0.108668,0.00675226,0.147853,0.0671772,5.59499e-23,0.00272405,0.240124,0.243646,0.317873,0.169865,0.584879,0.521907,6.5875,0.00267662
244.783,0.948148,0.000577306,12,8191,0,-205.775,0.0517208,0.00359079,0.0647796,0.0565001,0.205397,0.171342,0.0867657,4.53109e-22,0.00665152,0.343245,0.0123907,0.0759683,0.084404,1.57215,0.681217,6.31592,0.0155551
244.516,0.301229,0.000811206,8,511,0,-237.651,0.0520676,0.00356792,0.0646395,0.0562455,0.206846,0.170678,0.0859851,4.50141e-22,0.00649813,0.347156,0.012383,0.0761815,0.0847146,1.5897,0.681164,6.24544,0.0159013
246.462,0.946699,0.000317891,13,8191,0,-235.036,0.0533363,0.00469039,0.0513196,0.0582226,0.172913,0.204901,0.10897,2.65803e-22,0.00362258,0.291272,0.0115363,0.133952,0.0513661,2.52529,0.569877,5.57098,0.0114076
246.083,0.93357,0.000445058,12,8191,0,-239.971,0.049825,0.00510715,0.0556517,0.0570042,0.219767,0.192409,0.12157,1.53072e-22,0.00581053,0.261661,0.0215932,0.193723,0.0772778,1.38839,0.559547,6.4015,0.00969597
245.273,0.766948,0.000605301,11,4095,0,-234.394,0.0484154,0.00868643,0.0641243,0.0539649,0.265891,0.398272,0.097266,1.58629e-22,0.00171934,0.362763,0.0359241,0.151465,0.0750493,1.91679,0.758422,6.48851,0.00521425
243.321,0.641131,0.000593937,12,4095,0,-235.912,0.0478882,0.0116922,0.0610145,0.0567251,0.136268,0.171777,0.0990239,1.13447e-22,0.00297838,0.174719,0.0974612,0.173097,0.089157,0.949606,0.432816,6.33053,0.00721594
255.446,0.995445,0.000457019,14,20479,0,-234.142,0.0580952,0.00536441,0.0606011,0.0375293,0.43372,0.335306,0.157665,2.39021e-18,0.0753162,0.202495,0.0346634,0.16308,0.110466,0.876462,0.420141,5.61082,0.00502237
269.334,0.884749,0.000696653,13,8191,0,-246.238,0.0523326,0.00385062,0.0604011,0.0384642,2.28864,0.254494,0.173386,4.32151e-14,0.726967,0.188626,0.11301,0.14928,0.0925129,0.970781,0.416484,5.88986,0.00288998
273.797,0.334879,0.000855695,9,511,0,-264.587,0.0533718,0.00366381,0.0553169,0.0455095,2.13271,0.250318,0.154225,3.96646e-14,0.701946,0.213151,0.0969305,0.151596,0.0921574,1.03686,0.449697,5.92706,0.00294741
277.554,0.99985,0.000367799,11,2047,0,-262.866,0.0508065,0.00525386,0.0599952,0.0553502,1.04537,0.249434,0.0863986,3.02026e-14,0.261856,0.256083,0.126886,0.108868,0.139837,0.789924,0.497803,5.81692,0.00510375
281.291,0.752041,0.000562393,13,8191,0,-270.479,0.0496836,0.0143691,0.0461986,0.0554048,0.471937,0.217414,0.143431,1.20058e-12,0.246927,0.280691,0.345997,0.272683,0.120099,0.98419,0.512494,5.60577,0.0044492
279.932,0.993598,0.000536367,13,8191,0,-271.022,0.0565881,0.00313733,0.0649846,0.0578496,1.32586,0.132928,0.0894624,6.0422e-13,0.264176,0.248734,0.0610549,0.174382,0.0559206,1.99995,0.526335,5.91219,0.000997784
277.624,0.839151,0.000805911,8,309,1,-270.586,0.0527687,0.00308091,0.0678462,0.0522825,1.2079,0.121401,0.0851734,4.40443e-13,0.23948,0.263341,0.0562659,0.186248,0.053306,2.29675,0.511791,5.38904,0.00101599
282.159,0.626134,0.000903438,7,143,1,-270.883,0.0513052,0.00317761,0.0602693,0.0557394,1.15557,0.132506,0.097309,4.17201e-13,0.297543,0.2615,0.055872,0.187435,0.0567956,2.08148,0.528897,5.67813,0.000884885
