Cell	Parent
1996	237
2053	237
2364	237
3442	237
3528	237
5053	237
1536	3965
1742	4668
3911	4668
860	148
984	148
1011	148
1209	148
2373	148
2379	148
3090	148
4813	148
5113	148
2873	812
4723	812
217	1357
788	1357
903	1357
2369	1357
2936	1357
3519	1357
3726	1357
4454	1357
5070	1357
3707	1989
4770	1989
1547	3007
67	3791
1369	4468
1379	4468
2001	4468
3455	4468
885	4673
4597	4856
1154	445
4178	445
4399	445
4779	445
423	2056
1346	2375
231	2688
3783	2688
4690	4720
5044	4720
2216	3212
3465	3212
4277	3212
863	3868
2011	3868
4775	3868
1597	3355
1919	3355
4795	3355
2837	4037
2182	4156
3661	4156
4070	4156
4272	4156
1233	1271
1776	1271
2835	1271
3137	1271
4167	1271
4204	1271
2858	2726
3475	2726
904	236
998	236
1027	236
1076	236
1607	236
1774	236
4358	236
912	536
1569	536
453	890
1534	890
3435	890
3438	890
3521	890
937	2345
1424	2345
1531	2345
1593	2345
4699	2345
4714	2345
4777	2345
1539	336
1377	549
126	5077
1071	3216
1542	980
1726	980
2093	980
2450	980
2961	980
3730	980
3832	980
4915	980
2618	1533
2124	2442
3185	2442
3190	2442
242	2593
4465	2593
4785	2593
5087	2593
4674	2665
2901	4880
3626	4880
244	649
1655	649
2421	649
2783	649
3958	649
1215	733
3357	733
31	3018
388	3018
1354	3018
2234	3018
3333	3018
3340	3018
4266	3018
4528	3018
4976	3018
2876	323
2959	323
5063	323
1602	1188
4284	1188
3012	1703
3852	1703
778	1975
3795	1975
5052	1975
950	2535
961	2535
3042	2535
4729	2535
997	2965
1426	2965
2970	2965
3301	2965
3501	2965
4063	2965
4758	2965
1398	3971
3515	3971
2310	1030
1309	3142
1624	3142
2026	3142
2072	3142
2117	3142
2534	3142
4076	3142
4117	3142
4439	3142
3029	3689
3330	3689
5094	3689
2116	4013
2420	4013
2942	4013
2960	4013
3509	4013
3629	4013
4106	4013
4605	4013
4878	4013
4941	4013
178	4604
1363	4604
1391	4604
2009	4604
3522	4604
4081	4604
2113	1373
2772	1373
3838	1373
330	5028
3922	5028
478	1673
1610	2305
420	1431
1939	1431
3775	1431
3967	35
2238	3255
3925	3255
4128	3913
4345	3913
4666	3913
2028	4584
3604	4838
476	1295
1407	4691
2047	4691
2089	4691
2164	5071
2336	5071
2939	5071
3853	5071
4116	5071
3695	666
2527	935
2548	935
4430	935
4410	4221
311	5096
2160	5096
4275	5096
655	4099
3970	4099
1638	49
3573	49
3764	49
2746	225
3994	225
680	257
1680	257
2132	257
4190	257
4227	257
177	297
769	297
803	297
823	297
914	297
1546	297
1611	297
1746	297
1820	297
2904	297
3426	297
4443	297
4543	297
4847	297
4877	297
5050	297
1667	501
2722	501
507	513
2109	513
2129	513
2380	513
2583	513
2654	513
3179	513
147	580
283	580
416	580
509	580
1090	580
1304	580
1330	580
1718	580
2274	580
2684	580
3067	580
3408	580
3411	580
4075	580
4601	580
3910	1033
308	1087
919	1087
2147	1087
2172	1087
2711	1087
3236	1087
3703	1087
3708	1087
3954	1087
4937	1087
4942	1087
1600	1506
2825	1506
3211	1506
3314	1506
657	1663
1513	1669
1477	2099
1928	2813
3228	2813
3742	2813
4217	2813
1235	3686
3160	10
30	15
43	15
53	15
306	15
413	15
447	15
755	15
1345	15
1441	15
1852	15
2233	15
2257	15
2470	15
3311	15
3581	15
3671	15
3977	15
4034	15
4149	15
4302	15
4669	15
4906	15
4308	378
4476	378
4546	378
45	490
333	490
344	490
1359	490
1699	490
2291	490
3165	490
4230	490
4755	490
4943	490
99	652
3254	1856
3257	1856
684	2130
3224	2130
4052	2130
1704	3131
4560	3152
2368	3181
4434	3181
4990	3181
3251	3780
4920	3780
83	248
167	248
256	248
399	248
617	248
689	248
746	248
749	248
911	248
1032	248
1114	248
1130	248
1381	248
1483	248
1651	248
1689	248
1784	248
1840	248
1946	248
1957	248
2290	248
2681	248
2805	248
3180	248
3225	248
3718	248
3823	248
3871	248
4491	248
4792	248
4859	248
4952	248
4988	248
612	691
1079	691
3239	691
3931	691
3105	715
3283	715
2737	2232
3327	2232
575	98
1325	98
2363	113
3157	113
3801	113
294	613
381	613
2596	613
2630	613
3110	613
3183	613
3615	613
4865	613
13	745
647	745
1779	745
1863	745
2027	745
3267	745
3982	745
315	1658
2460	2640
2919	2640
2945	2640
3119	2640
4627	2640
4917	2640
14	3027
27	3027
33	3027
305	3027
665	3027
387	1218
512	1218
1674	1218
1963	1218
2815	1218
3104	1218
3164	1218
3213	1218
3321	1218
3392	1218
3617	1218
4548	1218
144	1505
1126	1505
1512	1505
1935	1505
2337	1505
3360	1505
4212	1505
2692	2157
4916	2176
55	2395
291	2395
588	2395
1683	2395
1713	2395
1899	2395
2723	2395
3172	2395
4055	2395
4429	2395
4507	2395
4879	2395
4975	2395
5067	2395
1257	3023
1945	3023
2133	3023
2672	3023
3976	3023
578	4197
2782	4197
3022	4197
3217	4197
3563	4197
3682	4197
3924	4197
4041	4197
4677	4197
1353	39
4016	39
267	382
2214	382
3860	382
4359	382
4513	382
2559	667
107	732
198	732
793	732
1258	732
2627	732
2830	732
3580	732
165	1682
4622	2543
506	3123
1252	3123
2485	3123
4274	3123
4105	4263
4318	4263
4321	4263
781	517
2322	517
2641	517
4707	517
2842	1854
1454	2138
1750	2138
2811	2604
62	268
957	268
2241	268
2365	268
2903	268
3288	268
4933	268
1765	396
3051	396
96	993
597	993
1190	993
1469	993
3352	993
4421	993
4873	993
5004	993
966	1343
2727	1343
3535	1343
1340	2724
3356	2724
3676	2724
4012	2724
4113	2724
4566	2724
3616	37
4253	37
4620	37
669	607
2769	1348
327	1894
2851	1894
4301	4297
585	340
1643	340
494	52
2645	52
4581	52
4660	52
663	1337
1226	1337
2701	1337
2705	1337
2838	1337
3743	1337
4005	1337
4619	1337
23	1843
664	1843
720	1843
3358	1843
3681	1843
4255	1843
4486	4260
498	4922
102	5005
365	5005
1503	5005
1664	5005
3028	1449
681	3130
2530	3130
2555	3130
348	637
4145	637
4300	637
1502	837
1748	837
1439	1460
138	593
3275	593
145	739
3073	739
1833	4269
985	1387
1832	1387
2082	1387
92	955
609	955
2403	955
72	117
262	117
634	117
676	117
1060	117
1125	117
1272	117
1423	117
1532	117
1570	117
1789	117
1838	117
2434	117
2741	117
2820	117
3170	117
3238	117
3518	117
3641	117
3988	117
4056	117
4294	117
4485	117
4662	117
4748	117
4773	117
4829	117
4972	117
304	529
3282	564
71	2269
929	2269
1280	2269
3459	2269
4820	2269
345	3887
804	3887
1937	3887
2352	3887
2620	3887
3058	3887
3154	3887
4148	3887
4381	3887
626	630
1172	630
1771	630
4616	630
2983	1550
491	1962
660	1962
744	1962
1124	1962
1138	1962
1448	1962
1497	1962
1855	1962
3665	1962
4631	1962
1861	2051
4762	2051
791	2219
3805	2219
493	2243
495	2478
1107	2478
1903	2478
2531	2478
2829	2478
4289	2478
4489	2478
4985	2478
243	2590
741	2590
1644	2590
1698	2590
1851	2590
1971	2590
2859	2590
2891	2590
3286	2590
3502	2590
4324	2590
4343	2590
4350	2590
220	2669
463	2669
29	4614
542	4614
2251	4614
622	1756
1865	1756
2339	1756
3258	1756
3260	1756
3346	1756
2473	2288
3648	2288
4127	2288
255	449
295	449
486	449
1757	449
1893	449
2661	449
2753	449
2765	449
3036	449
3317	449
3423	449
3566	449
3956	449
4068	449
4643	449
393	1729
1507	1729
3207	1729
3319	1729
4559	1729
4577	1729
4661	1729
4980	1965
2254	329
2536	329
4786	329
673	1237
896	1237
3006	1237
4712	1237
1214	1318
2415	1679
1646	2698
4505	2698
2	2295
118	2295
434	2295
949	2295
956	2295
1168	2295
1583	2295
1694	2295
1909	2295
2487	2295
3011	2295
3380	2295
3458	2295
3790	2295
3907	2295
4001	2295
4198	2295
4418	2295
